Habit,Date,Value,Unit,Memo,Tag,Habit Type
Developing Technical Skills,2023-03-23,15,min,,,Build
Developing Technical Skills,2023-03-24,15,min,,,Build
Developing Technical Skills,2023-03-25,157,min,,,Build
Developing Technical Skills,2023-03-26,20,min,,,Build
Developing Technical Skills,2023-03-27,15,min,,,Build
Developing Technical Skills,2023-03-29,45,min,,,Build
Developing Technical Skills,2023-03-30,105,min,,,Build
Developing Technical Skills,2023-04-03,75,min,,,Build
Developing Technical Skills,2023-04-04,15,min,,,Build
Developing Technical Skills,2023-04-05,165,min,,,Build
Developing Technical Skills,2023-04-06,80,min,,,Build
Developing Technical Skills,2023-04-08,15,min,,,Build
Developing Technical Skills,2023-04-09,60,min,,,Build
Developing Technical Skills,2023-04-10,85,min,,,Build
Developing Technical Skills,2023-04-12,15,min,,,Build
Developing Technical Skills,2023-04-13,15,min,,,Build
Developing Technical Skills,2023-04-14,60,min,,,Build
Developing Technical Skills,2023-04-15,210,min,,,Build
Developing Technical Skills,2023-04-16,15,min,,,Build
Developing Technical Skills,2023-04-17,150,min,,,Build
Developing Technical Skills,2023-04-18,80,min,,,Build
Developing Technical Skills,2023-04-19,30,min,,,Build
Developing Technical Skills,2023-04-20,150,min,,,Build
Developing Technical Skills,2023-04-22,35,min,,,Build
Developing Technical Skills,2023-04-23,15,min,,,Build
Developing Technical Skills,2023-04-25,45,min,,,Build
Developing Technical Skills,2023-04-26,180,min,,,Build
Developing Technical Skills,2023-04-27,15,min,,,Build
Developing Technical Skills,2023-04-29,15,min,,,Build
Developing Technical Skills,2023-04-30,180,min,,,Build
Developing Technical Skills,2023-05-01,15,min,,,Build
Developing Technical Skills,2023-05-02,15,min,,,Build
Developing Technical Skills,2023-05-03,180,min,,,Build
Developing Technical Skills,2023-05-06,105,min,,,Build
Developing Technical Skills,2023-05-07,150,min,,,Build
Developing Technical Skills,2023-05-09,60,min,,,Build
Developing Technical Skills,2023-05-15,60,min,,,Build
Developing Technical Skills,2023-05-18,15,min,,,Build
Developing Technical Skills,2023-05-23,15,min,,,Build
Developing Technical Skills,2023-05-24,15,min,,,Build
Developing Technical Skills,2023-05-26,35,min,,,Build
Developing Technical Skills,2023-05-27,30,min,,,Build
Developing Technical Skills,2023-05-28,28,min,,,Build
Developing Technical Skills,2023-06-04,35,min,,,Build
Developing Technical Skills,2023-06-05,15,min,,,Build
Developing Technical Skills,2023-06-06,15,min,,,Build
Developing Technical Skills,2023-06-07,15,min,,,Build
Developing Technical Skills,2023-06-12,15,min,,,Build
Developing Technical Skills,2023-06-13,15,min,,,Build
Developing Technical Skills,2023-06-14,15,min,,,Build
Developing Technical Skills,2023-06-15,15,min,,,Build
Developing Technical Skills,2023-06-26,90,min,,,Build
Developing Technical Skills,2023-06-27,90,min,,,Build
Developing Technical Skills,2023-06-28,90,min,,,Build
Developing Technical Skills,2023-06-29,60,min,,,Build
Developing Technical Skills,2023-06-30,90,min,,,Build
Developing Technical Skills,2023-07-02,210,min,,,Build
Developing Technical Skills,2023-07-03,15,min,,,Build
Developing Technical Skills,2023-07-04,150,min,,,Build
Developing Technical Skills,2023-07-05,90,min,,,Build
Developing Technical Skills,2023-07-06,360,min,,,Build
Developing Technical Skills,2023-07-09,45,min,,,Build
Developing Technical Skills,2023-07-10,90,min,,,Build
Developing Technical Skills,2023-07-11,60,min,,,Build
Developing Technical Skills,2023-07-12,165,min,,,Build
Developing Technical Skills,2023-07-13,60,min,,,Build
Developing Technical Skills,2023-07-15,15,min,,,Build
Developing Technical Skills,2023-07-16,25,min,,,Build
Developing Technical Skills,2023-07-17,150,min,,,Build
Developing Technical Skills,2023-07-18,300,min,,,Build
Developing Technical Skills,2023-07-19,210,min,,,Build
Developing Technical Skills,2023-07-20,150,min,,,Build
Developing Technical Skills,2023-07-21,240,min,,,Build
Developing Technical Skills,2023-07-24,15,min,,,Build
Developing Technical Skills,2023-07-26,15,min,,,Build
Developing Technical Skills,2023-07-27,240,min,,,Build
Developing Technical Skills,2023-08-01,60,min,,,Build
Developing Technical Skills,2023-08-03,60,min,,,Build
Developing Technical Skills,2023-08-04,150,min,,,Build
Developing Technical Skills,2023-08-05,15,min,,,Build
Developing Technical Skills,2023-08-06,60,min,,,Build
Developing Technical Skills,2023-08-07,480,min,,,Build
Developing Technical Skills,2023-08-08,180,min,,,Build
Developing Technical Skills,2023-08-09,240,min,,,Build
Developing Technical Skills,2023-08-10,240,min,,,Build
Developing Technical Skills,2023-08-11,60,min,,,Build
Developing Technical Skills,2023-08-12,90,min,,,Build
Developing Technical Skills,2023-08-13,45,min,,,Build
Developing Technical Skills,2023-08-14,60,min,,,Build
Developing Technical Skills,2023-08-17,60,min,,,Build
Developing Technical Skills,2023-08-18,60,min,,,Build
Developing Technical Skills,2023-08-20,45,min,,,Build
Developing Technical Skills,2023-08-21,220,min,,,Build
Developing Technical Skills,2023-08-22,277,min,,,Build
Developing Technical Skills,2023-08-24,141,min,,,Build
Developing Technical Skills,2023-08-31,60,min,,,Build
Developing Technical Skills,2023-09-01,45,min,,,Build
Developing Technical Skills,2023-08-01,60,min,,,Build
Developing Technical Skills,2023-08-03,60,min,,,Build
Developing Technical Skills,2023-08-04,150,min,,,Build
Developing Technical Skills,2023-08-05,15,min,,,Build
Developing Technical Skills,2023-08-06,60,min,,,Build
Developing Technical Skills,2023-08-07,480,min,,,Build
Developing Technical Skills,2023-08-08,180,min,,,Build
Developing Technical Skills,2023-08-09,240,min,,,Build
Developing Technical Skills,2023-08-10,240,min,,,Build
Developing Technical Skills,2023-08-11,60,min,,,Build
Developing Technical Skills,2023-08-12,90,min,,,Build
Developing Technical Skills,2023-08-13,45,min,,,Build
Developing Technical Skills,2023-08-14,60,min,,,Build
Developing Technical Skills,2023-08-17,60,min,,,Build
Developing Technical Skills,2023-08-18,60,min,,,Build
Developing Technical Skills,2023-08-20,45,min,,,Build
Developing Technical Skills,2023-08-21,220,min,,,Build
Developing Technical Skills,2023-08-22,277,min,,,Build
Developing Technical Skills,2023-08-24,141,min,,,Build
Developing Technical Skills,2023-08-31,60,min,,,Build
Developing Technical Skills,2023-09-01,45,min,,,Build
Eat Properly,2023-04-29,1,Yes,,,Build
Eat Properly,2023-04-30,1,Yes,,,Build
Eat Properly,2023-05-01,0,Yes,,,Build
Eat Properly,2023-05-02,1,Yes,,,Build
Eat Properly,2023-05-04,1,Yes,,,Build
Eat Properly,2023-05-05,1,Yes,,,Build
Eat Properly,2023-05-06,1,Yes,,,Build
Eat Properly,2023-05-07,1,Yes,,,Build
Eat Properly,2023-05-09,1,Yes,,,Build
Eat Properly,2023-05-10,1,Yes,,,Build
Eat Properly,2023-05-12,1,Yes,,,Build
Eat Properly,2023-05-15,1,Yes,,,Build
Eat Properly,2023-05-16,0,Yes,,,Build
Eat Properly,2023-05-18,1,Yes,,,Build
Eat Properly,2023-05-23,1,Yes,,,Build
Eat Properly,2023-05-27,1,Yes,,,Build
Eat Properly,2023-05-29,1,Yes,,,Build
Eat Properly,2023-05-30,1,Yes,,,Build
Eat Properly,2023-05-31,1,Yes,,,Build
Eat Properly,2023-06-01,1,Yes,,,Build
Eat Properly,2023-06-02,1,Yes,,,Build
Eat Properly,2023-06-03,1,Yes,,,Build
Eat Properly,2023-06-04,1,Yes,,,Build
Eat Properly,2023-06-05,1,Yes,,,Build
Eat Properly,2023-06-06,1,Yes,,,Build
Eat Properly,2023-06-07,1,Yes,,,Build
Eat Properly,2023-06-12,1,Yes,,,Build
Eat Properly,2023-06-13,1,Yes,,,Build
Eat Properly,2023-06-14,1,Yes,,,Build
Eat Properly,2023-06-20,1,Yes,,,Build
Eat Properly,2023-06-21,1,Yes,,,Build
Eat Properly,2023-06-25,1,Yes,,,Build
Eat Properly,2023-06-26,1,Yes,,,Build
Eat Properly,2023-06-27,1,Yes,,,Build
Eat Properly,2023-06-28,1,Yes,,,Build
Eat Properly,2023-07-04,1,Yes,,,Build
Eat Properly,2023-07-06,1,Yes,,,Build
Eat Properly,2023-07-08,1,Yes,,,Build
Eat Properly,2023-07-10,1,Yes,,,Build
Eat Properly,2023-07-12,1,Yes,,,Build
Eat Properly,2023-07-15,1,Yes,,,Build
Eat Properly,2023-07-16,1,Yes,,,Build
Eat Properly,2023-07-17,1,Yes,,,Build
Eat Properly,2023-07-19,1,Yes,,,Build
Eat Properly,2023-07-20,1,Yes,,,Build
Eat Properly,2023-07-25,1,Yes,,,Build
Eat Properly,2023-07-26,1,Yes,,,Build
Eat Properly,2023-07-29,1,Yes,,,Build
Eat Properly,2023-08-01,1,Yes,,,Build
Eat Properly,2023-08-02,1,Yes,,,Build
Eat Properly,2023-08-04,0,Yes,,,Build
Eat Properly,2023-08-05,1,Yes,,,Build
Eat Properly,2023-08-06,1,Yes,,,Build
Eat Properly,2023-08-07,1,Yes,,,Build
Eat Properly,2023-08-08,1,Yes,,,Build
Eat Properly,2023-08-11,1,Yes,,,Build
Eat Properly,2023-08-12,1,Yes,,,Build
Eat Properly,2023-08-14,1,Yes,,,Build
Eat Properly,2023-08-15,1,Yes,,,Build
Eat Properly,2023-08-17,1,Yes,,,Build
Eat Properly,2023-08-18,1,Yes,,,Build
Eat Properly,2023-08-19,1,Yes,,,Build
Eat Properly,2023-08-21,1,Yes,,,Build
Eat Properly,2023-08-23,1,Yes,,,Build
Eat Properly,2023-08-24,1,Yes,,,Build
Eat Properly,2023-08-28,1,Yes,,,Build
Eat Properly,2023-08-31,1,Yes,,,Build
Eat Properly,2023-08-01,1,Yes,,,Build
Eat Properly,2023-08-02,1,Yes,,,Build
Eat Properly,2023-08-04,0,Yes,,,Build
Eat Properly,2023-08-05,1,Yes,,,Build
Eat Properly,2023-08-06,1,Yes,,,Build
Eat Properly,2023-08-07,1,Yes,,,Build
Eat Properly,2023-08-08,1,Yes,,,Build
Eat Properly,2023-08-11,1,Yes,,,Build
Eat Properly,2023-08-12,1,Yes,,,Build
Eat Properly,2023-08-14,1,Yes,,,Build
Eat Properly,2023-08-15,1,Yes,,,Build
Eat Properly,2023-08-17,1,Yes,,,Build
Eat Properly,2023-08-18,1,Yes,,,Build
Eat Properly,2023-08-19,1,Yes,,,Build
Eat Properly,2023-08-21,1,Yes,,,Build
Eat Properly,2023-08-23,1,Yes,,,Build
Eat Properly,2023-08-24,1,Yes,,,Build
Eat Properly,2023-08-28,1,Yes,,,Build
Eat Properly,2023-08-31,1,Yes,,,Build
Cold Shower,2023-02-08,1,count,,,Build
Cold Shower,2023-02-09,1,count,,,Build
Cold Shower,2023-02-10,1,count,,,Build
Cold Shower,2023-02-11,1,count,,,Build
Cold Shower,2023-02-12,1,count,,,Build
Cold Shower,2023-02-13,1,count,,,Build
Cold Shower,2023-02-14,1,count,,,Build
Cold Shower,2023-02-15,1,count,,,Build
Cold Shower,2023-02-16,1,count,,,Build
Cold Shower,2023-02-17,1,count,,,Build
Cold Shower,2023-02-19,1,count,,,Build
Cold Shower,2023-02-21,1,count,,,Build
Cold Shower,2023-02-22,1,count,,,Build
Cold Shower,2023-02-23,1,count,,,Build
Cold Shower,2023-02-24,1,count,,,Build
Cold Shower,2023-02-26,1,count,,,Build
Cold Shower,2023-02-27,1,count,,,Build
Cold Shower,2023-02-28,1,count,,,Build
Cold Shower,2023-03-01,1,count,,,Build
Cold Shower,2023-03-02,1,count,,,Build
Cold Shower,2023-03-05,1,count,,,Build
Cold Shower,2023-03-06,1,count,,,Build
Cold Shower,2023-03-07,1,count,,,Build
Cold Shower,2023-03-09,1,count,,,Build
Cold Shower,2023-03-10,1,count,,,Build
Cold Shower,2023-03-11,1,count,,,Build
Cold Shower,2023-03-12,1,count,,,Build
Cold Shower,2023-03-13,1,count,,,Build
Cold Shower,2023-03-14,1,count,,,Build
Cold Shower,2023-03-15,1,count,,,Build
Cold Shower,2023-03-16,1,count,,,Build
Cold Shower,2023-03-17,1,count,,,Build
Cold Shower,2023-03-18,1,count,,,Build
Cold Shower,2023-03-19,1,count,,,Build
Cold Shower,2023-03-20,1,count,,,Build
Cold Shower,2023-03-22,1,count,,,Build
Cold Shower,2023-03-23,1,count,,,Build
Cold Shower,2023-03-24,1,count,,,Build
Cold Shower,2023-03-25,1,count,,,Build
Cold Shower,2023-03-26,1,count,,,Build
Cold Shower,2023-03-27,1,count,,,Build
Cold Shower,2023-03-28,1,count,,,Build
Cold Shower,2023-03-29,1,count,,,Build
Cold Shower,2023-03-30,1,count,,,Build
Cold Shower,2023-03-31,1,count,,,Build
Cold Shower,2023-04-03,1,count,,,Build
Cold Shower,2023-04-05,1,count,,,Build
Cold Shower,2023-04-06,1,count,,,Build
Cold Shower,2023-04-07,1,count,,,Build
Cold Shower,2023-04-08,1,count,,,Build
Cold Shower,2023-04-10,1,count,,,Build
Cold Shower,2023-04-11,1,count,,,Build
Cold Shower,2023-04-12,1,count,,,Build
Cold Shower,2023-04-13,1,count,,,Build
Cold Shower,2023-04-15,1,count,,,Build
Cold Shower,2023-04-16,1,count,,,Build
Cold Shower,2023-04-17,1,count,,,Build
Cold Shower,2023-04-19,1,count,,,Build
Cold Shower,2023-04-20,1,count,,,Build
Cold Shower,2023-04-21,1,count,,,Build
Cold Shower,2023-04-22,1,count,,,Build
Cold Shower,2023-04-23,1,count,,,Build
Cold Shower,2023-04-24,1,count,,,Build
Cold Shower,2023-04-26,1,count,,,Build
Cold Shower,2023-04-27,1,count,,,Build
Cold Shower,2023-04-29,1,count,,,Build
Cold Shower,2023-04-30,1,count,,,Build
Cold Shower,2023-05-01,1,count,,,Build
Cold Shower,2023-05-02,1,count,,,Build
Cold Shower,2023-05-04,1,count,,,Build
Cold Shower,2023-05-05,1,count,,,Build
Cold Shower,2023-05-06,1,count,,,Build
Cold Shower,2023-05-07,1,count,,,Build
Cold Shower,2023-05-08,1,count,,,Build
Cold Shower,2023-05-09,1,count,,,Build
Cold Shower,2023-05-13,1,count,,,Build
Cold Shower,2023-05-14,1,count,,,Build
Cold Shower,2023-05-15,1,count,,,Build
Cold Shower,2023-05-16,1,count,,,Build
Cold Shower,2023-05-18,1,count,,,Build
Cold Shower,2023-05-19,1,count,,,Build
Cold Shower,2023-05-23,2,count,,,Build
Cold Shower,2023-05-24,1,count,,,Build
Cold Shower,2023-05-25,1,count,,,Build
Cold Shower,2023-05-26,1,count,,,Build
Cold Shower,2023-05-27,1,count,,,Build
Cold Shower,2023-05-29,1,count,,,Build
Cold Shower,2023-06-01,1,count,,,Build
Cold Shower,2023-06-04,1,count,,,Build
Cold Shower,2023-06-05,1,count,,,Build
Cold Shower,2023-06-06,1,count,,,Build
Cold Shower,2023-06-07,1,count,,,Build
Cold Shower,2023-06-10,1,count,,,Build
Cold Shower,2023-06-12,1,count,,,Build
Cold Shower,2023-06-13,1,count,,,Build
Cold Shower,2023-06-14,1,count,,,Build
Cold Shower,2023-06-15,1,count,,,Build
Cold Shower,2023-06-17,1,count,,,Build
Cold Shower,2023-06-21,1,count,,,Build
Cold Shower,2023-06-22,1,count,,,Build
Cold Shower,2023-06-24,1,count,,,Build
Cold Shower,2023-06-25,1,count,,,Build
Cold Shower,2023-06-26,1,count,,,Build
Cold Shower,2023-06-27,1,count,,,Build
Cold Shower,2023-06-28,1,count,,,Build
Cold Shower,2023-06-29,1,count,,,Build
Cold Shower,2023-06-30,1,count,,,Build
Cold Shower,2023-07-02,1,count,,,Build
Cold Shower,2023-07-04,1,count,,,Build
Cold Shower,2023-07-05,1,count,,,Build
Cold Shower,2023-07-06,1,count,,,Build
Cold Shower,2023-07-07,1,count,,,Build
Cold Shower,2023-07-08,1,count,,,Build
Cold Shower,2023-07-09,1,count,,,Build
Cold Shower,2023-07-10,1,count,,,Build
Cold Shower,2023-07-11,1,count,,,Build
Cold Shower,2023-07-12,1,count,,,Build
Cold Shower,2023-07-13,1,count,,,Build
Cold Shower,2023-07-14,1,count,,,Build
Cold Shower,2023-07-15,1,count,,,Build
Cold Shower,2023-07-16,1,count,,,Build
Cold Shower,2023-07-17,1,count,,,Build
Cold Shower,2023-07-18,1,count,,,Build
Cold Shower,2023-07-19,1,count,,,Build
Cold Shower,2023-07-20,1,count,,,Build
Cold Shower,2023-07-23,1,count,,,Build
Cold Shower,2023-07-24,1,count,,,Build
Cold Shower,2023-07-25,1,count,,,Build
Cold Shower,2023-07-27,1,count,,,Build
Cold Shower,2023-07-29,1,count,,,Build
Cold Shower,2023-08-01,1,count,,,Build
Cold Shower,2023-08-02,1,count,,,Build
Cold Shower,2023-08-03,1,count,,,Build
Cold Shower,2023-08-04,1,count,,,Build
Cold Shower,2023-08-05,1,count,,,Build
Cold Shower,2023-08-06,1,count,,,Build
Cold Shower,2023-08-07,1,count,,,Build
Cold Shower,2023-08-08,1,count,,,Build
Cold Shower,2023-08-09,1,count,,,Build
Cold Shower,2023-08-10,2,count,,,Build
Cold Shower,2023-08-11,1,count,,,Build
Cold Shower,2023-08-12,1,count,,,Build
Cold Shower,2023-08-13,1,count,,,Build
Cold Shower,2023-08-14,1,count,,,Build
Cold Shower,2023-08-15,1,count,,,Build
Cold Shower,2023-08-16,1,count,,,Build
Cold Shower,2023-08-17,1,count,,,Build
Cold Shower,2023-08-18,1,count,,,Build
Cold Shower,2023-08-19,1,count,,,Build
Cold Shower,2023-08-20,1,count,,,Build
Cold Shower,2023-08-21,1,count,,,Build
Cold Shower,2023-08-22,1,count,,,Build
Cold Shower,2023-08-23,1,count,,,Build
Cold Shower,2023-08-24,1,count,,,Build
Cold Shower,2023-08-25,1,count,,,Build
Cold Shower,2023-08-27,1,count,,,Build
Cold Shower,2023-08-28,1,count,,,Build
Cold Shower,2023-08-29,1,count,,,Build
Cold Shower,2023-08-31,1,count,,,Build
Cold Shower,2023-09-01,1,count,,,Build
Cold Shower,2023-08-01,1,count,,,Build
Cold Shower,2023-08-02,1,count,,,Build
Cold Shower,2023-08-03,1,count,,,Build
Cold Shower,2023-08-04,1,count,,,Build
Cold Shower,2023-08-05,1,count,,,Build
Cold Shower,2023-08-06,1,count,,,Build
Cold Shower,2023-08-07,1,count,,,Build
Cold Shower,2023-08-08,1,count,,,Build
Cold Shower,2023-08-09,1,count,,,Build
Cold Shower,2023-08-10,2,count,,,Build
Cold Shower,2023-08-11,1,count,,,Build
Cold Shower,2023-08-12,1,count,,,Build
Cold Shower,2023-08-13,1,count,,,Build
Cold Shower,2023-08-14,1,count,,,Build
Cold Shower,2023-08-15,1,count,,,Build
Cold Shower,2023-08-16,1,count,,,Build
Cold Shower,2023-08-17,1,count,,,Build
Cold Shower,2023-08-18,1,count,,,Build
Cold Shower,2023-08-19,1,count,,,Build
Cold Shower,2023-08-20,1,count,,,Build
Cold Shower,2023-08-21,1,count,,,Build
Cold Shower,2023-08-22,1,count,,,Build
Cold Shower,2023-08-23,1,count,,,Build
Cold Shower,2023-08-24,1,count,,,Build
Cold Shower,2023-08-25,1,count,,,Build
Cold Shower,2023-08-27,1,count,,,Build
Cold Shower,2023-08-28,1,count,,,Build
Cold Shower,2023-08-29,1,count,,,Build
Cold Shower,2023-08-31,1,count,,,Build
Cold Shower,2023-09-01,1,count,,,Build
Read or Write,2022-07-20,20,min,,,Build
Read or Write,2022-07-21,20,min,,,Build
Read or Write,2022-07-22,20,min,,,Build
Read or Write,2022-07-24,20,min,,,Build
Read or Write,2022-07-25,20,min,,,Build
Read or Write,2022-07-27,20,min,,,Build
Read or Write,2022-07-28,20,min,,,Build
Read or Write,2022-08-03,8.33,min,,,Build
Read or Write,2023-02-06,32,min,,,Build
Read or Write,2023-02-07,60,min,,,Build
Read or Write,2023-02-09,66,min,,,Build
Read or Write,2023-02-11,28,min,,,Build
Read or Write,2023-02-12,45,min,,,Build
Read or Write,2023-02-13,30,min,,,Build
Read or Write,2023-02-14,13,min,,,Build
Read or Write,2023-02-15,29,min,,,Build
Read or Write,2023-02-16,47,min,,,Build
Read or Write,2023-02-19,36,min,,,Build
Read or Write,2023-02-23,25,min,,,Build
Read or Write,2023-02-24,32,min,,,Build
Read or Write,2023-02-26,20,min,,,Build
Read or Write,2023-02-28,30,min,,,Build
Read or Write,2023-03-01,24,min,,,Build
Read or Write,2023-03-02,41,min,,,Build
Read or Write,2023-03-04,54,min,,,Build
Read or Write,2023-03-05,83,min,,,Build
Read or Write,2023-03-06,60,min,,,Build
Read or Write,2023-03-07,40,min,,,Build
Read or Write,2023-03-08,32,min,,,Build
Read or Write,2023-03-10,87,min,,,Build
Read or Write,2023-03-11,40,min,,,Build
Read or Write,2023-03-12,17,min,,,Build
Read or Write,2023-03-13,88,min,,,Build
Read or Write,2023-03-14,23,min,,,Build
Read or Write,2023-03-15,45,min,,,Build
Read or Write,2023-03-17,25,min,,,Build
Read or Write,2023-03-18,64,min,,,Build
Read or Write,2023-03-19,34,min,,,Build
Read or Write,2023-03-20,20,min,,,Build
Read or Write,2023-03-21,8,min,,,Build
Read or Write,2023-03-22,16,min,,,Build
Read or Write,2023-03-23,15,min,,,Build
Read or Write,2023-03-24,49,min,,,Build
Read or Write,2023-03-25,30,min,,,Build
Read or Write,2023-03-26,22,min,,,Build
Read or Write,2023-03-27,21,min,,,Build
Read or Write,2023-03-28,45,min,,,Build
Read or Write,2023-03-29,55,min,,,Build
Read or Write,2023-03-30,25,min,,,Build
Read or Write,2023-04-01,69,min,,,Build
Read or Write,2023-04-02,26,min,,,Build
Read or Write,2023-04-03,20,min,,,Build
Read or Write,2023-04-04,15,min,,,Build
Read or Write,2023-04-05,49,min,,,Build
Read or Write,2023-04-06,62,min,,,Build
Read or Write,2023-04-07,10,min,,,Build
Read or Write,2023-04-08,28,min,,,Build
Read or Write,2023-04-09,22,min,,,Build
Read or Write,2023-04-10,55,min,,,Build
Read or Write,2023-04-11,85,min,,,Build
Read or Write,2023-04-12,29,min,,,Build
Read or Write,2023-04-13,31,min,,,Build
Read or Write,2023-04-14,26,min,,,Build
Read or Write,2023-04-15,91,min,,,Build
Read or Write,2023-04-16,45,min,,,Build
Read or Write,2023-04-17,40,min,,,Build
Read or Write,2023-04-18,30,min,,,Build
Read or Write,2023-04-19,50,min,,,Build
Read or Write,2023-04-20,60,min,,,Build
Read or Write,2023-04-21,42,min,,,Build
Read or Write,2023-04-22,22.5,min,,,Build
Read or Write,2023-04-23,21,min,,,Build
Read or Write,2023-04-24,30,min,,,Build
Read or Write,2023-04-25,23,min,,,Build
Read or Write,2023-04-26,23,min,,,Build
Read or Write,2023-04-28,46,min,,,Build
Read or Write,2023-04-29,145,min,,,Build
Read or Write,2023-04-30,60,min,,,Build
Read or Write,2023-05-01,20,min,,,Build
Read or Write,2023-05-02,23,min,,,Build
Read or Write,2023-05-03,44,min,,,Build
Read or Write,2023-05-04,30,min,,,Build
Read or Write,2023-05-05,30,min,,,Build
Read or Write,2023-05-06,54,min,,,Build
Read or Write,2023-05-07,20,min,,,Build
Read or Write,2023-05-08,30,min,,,Build
Read or Write,2023-05-09,38,min,,,Build
Read or Write,2023-05-12,73,min,,,Build
Read or Write,2023-05-13,18,min,,,Build
Read or Write,2023-05-14,78,min,,,Build
Read or Write,2023-05-15,5,min,,,Build
Read or Write,2023-05-16,110,min,,,Build
Read or Write,2023-05-17,90,min,,,Build
Read or Write,2023-05-19,65,min,,,Build
Read or Write,2023-05-20,42,min,,,Build
Read or Write,2023-05-22,25,min,,,Build
Read or Write,2023-05-23,74,min,,,Build
Read or Write,2023-05-24,54,min,,,Build
Read or Write,2023-05-25,32,min,,,Build
Read or Write,2023-05-26,35,min,,,Build
Read or Write,2023-05-27,80,min,,,Build
