Habit,Date,Value,Unit,Memo,Tag,Habit Type
Developing Technical Skills (min),2023-09-05,70,min,,,Build
Developing Technical Skills (min),2023-09-06,45,min,,,Build
Developing Technical Skills (min),2023-09-07,34,min,,,Build
Developing Technical Skills (min),2023-09-08,191,min,,,Build
Developing Technical Skills (min),2023-09-10,36,min,,,Build
Developing Technical Skills (min),2023-09-12,63,min,,,Build
Developing Technical Skills (min),2023-09-13,15,min,,,Build
Developing Technical Skills (min),2023-09-14,46,min,,,Build
Developing Technical Skills (min),2023-09-15,110,min,,,Build
Developing Technical Skills (min),2023-09-16,45,min,,,Build
Developing Technical Skills (min),2023-09-17,60,min,,,Build
Developing Technical Skills (min),2023-09-18,22,min,,,Build
Developing Technical Skills (min),2023-09-20,15,min,,,Build
Developing Technical Skills (min),2023-09-21,15,min,,,Build
Developing Technical Skills (min),2023-09-22,63,min,,,Build
Developing Technical Skills (min),2023-09-23,127,min,,,Build
Developing Technical Skills (min),2023-09-24,131,min,,,Build
Developing Technical Skills (min),2023-09-25,270,min,,,Build
Developing Technical Skills (min),2023-09-26,37,min,,,Build
Developing Technical Skills (min),2023-09-27,15,min,,,Build
Developing Technical Skills (min),2023-09-29,7,min,,,Build
Developing Technical Skills (min),2023-09-30,15,min,,,Build
Read & Write (min),2023-09-01,38,min,,,Build
Read & Write (min),2023-09-02,30,min,,,Build
Read & Write (min),2023-09-03,32,min,,,Build
Read & Write (min),2023-09-04,30,min,,,Build
Read & Write (min),2023-09-05,32,min,,,Build
Read & Write (min),2023-09-06,34,min,,,Build
Read & Write (min),2023-09-07,8,min,,,Build
Read & Write (min),2023-09-08,20,min,,,Build
Read & Write (min),2023-09-11,41,min,,,Build
Read & Write (min),2023-09-12,44,min,,,Build
Read & Write (min),2023-09-13,49,min,,,Build
Read & Write (min),2023-09-15,51,min,,,Build
Read & Write (min),2023-09-18,49,min,,,Build
Read & Write (min),2023-09-19,44,min,,,Build
Read & Write (min),2023-09-20,30,min,,,Build
Read & Write (min),2023-09-21,13,min,,,Build
Read & Write (min),2023-09-22,15,min,,,Build
Read & Write (min),2023-09-23,22,min,,,Build
Read & Write (min),2023-09-25,15,min,,,Build
Read & Write (min),2023-09-26,28,min,,,Build
Read & Write (min),2023-09-27,10,min,,,Build
Biking (min),2023-09-05,40,min,,,Build
Biking (min),2023-09-09,75,min,,,Build
Biking (min),2023-09-10,30,min,,,Build
Biking (min),2023-09-16,30,min,,,Build
Biking (min),2023-09-20,30,min,,,Build
Biking (min),2023-09-22,60,min,,,Build
Biking (min),2023-09-23,60,min,,,Build
Biking (min),2023-09-28,45,min,,,Build
Biking (min),2023-09-30,45,min,,,Build
Swimming (min),2023-09-13,40,min,,,Build
